restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Minuman Sueger,Seger Nya Es Kopyor Imitasi Dengan Syrup Sarang Sari,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Lain Lain,Coklat Meses/Coklat Pasta,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Lain Lain,Nasi Kebuli Ayam+Acar+Emping,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Lain Lain,"Coklat Meses/Selai, Keju,Kacang",15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Paket Nasi,Nasi Dengan Karee,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Jajanan,1 Pack Risoles Isi Pasta Kentang Isi 3 Pcs,14000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Jajanan,Keripik Bawang Yang Punya Rasa Beda Dari Yg Biasa,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Jajanan,Dengan Isi daging sapi Yg Endessszzz Krendesszzzz,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Donat Loukumades,Donat Loukumades Dengan Taburan Madu Dan Kacang,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Donat Loukumades,Loukumades Dengan Taburan Gula Putih,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Sotang (Sosis Kentang) Sosis Dengan Baluran Kentang Diluarnya,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Risoles Beef Mayo Risoles Dengan Isian Beef, Telur, Saus, Dan Mayo",20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Banana Satay / Sate Pisang Sate Pisang Yang Crunchy Dengan Balutan Coklat,20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Mix Bakso, Sosis, Otak-otak, Fish Roll Bakar Isi 5",15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Risoles Beef Mayo 10 Pcs - Frozen Isi 10pcs Jumbo,65000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi + Ayam Bakar Dada / Paha,20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Nasi + Ayam Goreng Dada / Paha,20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Roti Bakar 4 Rasa Tersedia Rasa Coklat, Keju, Nanas, Blueberry, Strawberry, Kacang",28000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Beef Kebab Kebab Dengan Isian Beef Yang Lezat Ditambah Sayuran,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Bakar Coklat Dengan Coklat Yang Kental Dan Leleh,22000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Roti Bakar Susu Keju Dengan Isian Susu Dan Keju Yang Lumer,22000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Roti Bakar 1 Rasa Tersedia Rasa Nanas, Blueberry, Strawberry, Kacang",20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Roti Bakar 2 Rasa Tersedia Rasa Coklat, Keju, Nanas, Blueberry, Strawberry, Kacang",23000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,"Roti Bakar 3 Rasa Tersedia Rasa Coklat, Keju, Nanas, Blueberry, Strawberry, Kacang",26000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Risoles Crab Spicy Mayo Risoles Dengan Isian Crab Yang Menambah Kelezatan,20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Risoles Ayam Saus Tiram Isi 3 Pcs,20000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Sosis Bakar Isi 5,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Fish Roll Bakar Isi 5,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Bakso Bakar Isi 5,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Otak-Otak Bakar Isi 5,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
"Jajanduludeh Risol Pisang Kebab, Fatmawati, Jakarta 2026",Jakarta,roti bakar / toast,,Banana Crispy Pisang Crispy Dengan Tambahan Coklat Dan Keju,15000,MenuKuliner,https://menukuliner.net/menu/346461/jajanduludeh-risol-pisang-kebab-fatmawati,roti bakar,html_table,2026-04-28 03:07:29
